replicate,t1_lambda,t1_duration_mean,t1_duration_sd,t1_duration_q90,t1_overtime_risk,t2_arrivals_mean,t2_duration_mean,t2_duration_median,t2_duration_q90,t2_overtime_risk,t1_interarrival_mean,t2_interarrival_mean
1,17.523809523809526,0.4272576284115043,0.10136332873353626,0.5573427576085519,0.061808824253347106,9.80952380952381,0.6582757448478008,0.633505803228406,0.9191060905940376,0.05263157894736842,0.520732394366197,0.8440865384615381
2,16.095238095238095,0.42674019338054014,0.094001809636881,0.5410394163033417,0.04787140841974713,10,0.6862487605555453,0.650763710056686,0.9520515946207192,0.04784688995215311,0.544732394366197,0.8992788461538456
3,17.333333333333332,0.4258832357677407,0.091372478834803,0.5351458952547302,0.04242910803612132,9.904761904761905,0.6724068225355861,0.636929682038299,0.9317898019932306,0.06220095693779904,0.5298309859154932,0.8761538461538454
4,18.047619047619047,0.4325085185950634,0.09238010980878407,0.5456639312773823,0.051270826454065666,10.142857142857142,0.6673427602716452,0.650700230008941,0.951851157778343,0.06220095693779904,0.573070422535212,0.8730769230769225
5,16.714285714285715,0.4296372030432766,0.10005931455411411,0.5621037563391476,0.06226303420969481,10.238095238095237,0.6520785692397261,0.614411777670133,0.9191060905940376,0.0861244019138756,0.5407323943661974,0.9048557692307693
6,14.666666666666666,0.42449588470925154,0.09457595795239443,0.5471641618317884,0.046530276951157634,10.142857142857142,0.6458684085137192,0.629246307532056,0.897649007290511,0.06698564593301436,0.5158028169014083,0.8473076923076928
7,17,0.4338505116101778,0.0883486068992085,0.5372724701412307,0.04532624692232379,10,0.6786221575311804,0.630319440349419,0.9708144391842597,0.04784688995215311,0.5276338028169018,0.912692307692307
8,15.904761904761905,0.4282294950345753,0.0913800896987221,0.5489279060835117,0.044815417020130144,10.047619047619047,0.6580994857883127,0.633505803228406,0.950233838370533,0.04784688995215311,0.5534929577464788,0.9147115384615387
9,15.238095238095237,0.42221366140274186,0.10173865528365632,0.5552628817390798,0.05663529517886634,9.904761904761905,0.6832501424275712,0.64957832753997,0.9275420302030918,0.06698564593301436,0.5025352112676056,0.8922115384615388
10,16.285714285714285,0.42811948943418615,0.0977668495862871,0.5545075126304584,0.05618934239124118,9.857142857142858,0.664619176714435,0.63647780165893,0.916300232731153,0.05263157894736842,0.5061408450704223,0.9515865384615372
11,16.476190476190474,0.4319103134850363,0.09326590809027965,0.5504272315542889,0.052234619793472215,10.285714285714286,0.6539092208098434,0.614411777670133,0.9310149793988779,0.07177033492822966,0.5550985915492962,0.908173076923077
12,16.333333333333332,0.424392420234024,0.09879159098395275,0.5494837437921796,0.05382450381097115,9.80952380952381,0.6655937541041931,0.643956892607587,0.909083128358466,0.05263157894736842,0.5265352112676063,0.9028846153846153
13,16.80952380952381,0.4310091695218114,0.09527659343701987,0.5578344236570341,0.0549372531572494,10.047619047619047,0.697577516332222,0.664511646095865,0.9740113813389886,0.05741626794258373,0.5239154929577461,0.8780288461538464
14,16.61904761904762,0.4259098681550087,0.09716752270115012,0.5452831907337199,0.05260278869343926,9.666666666666666,0.6728786562860978,0.633505803228406,0.9585208722519583,0.06698564593301436,0.5436901408450707,0.8735576923076922
15,16.476190476190474,0.4236679128613392,0.09937456127637258,0.5466914220571092,0.054059751326848815,10.047619047619047,0.6819376168982904,0.640379350438141,0.9753684791924099,0.08133971291866028,0.5090704225352114,0.9304326923076927
16,18.61904761904762,0.43149003389995794,0.09909100579511929,0.5608920554364818,0.06271655513432395,10,0.6823274396643084,0.643956892607587,1.00771281291168,0.05741626794258373,0.5604225352112671,0.8962980769230772
17,15.666666666666666,0.42842073006226605,0.09458519391676427,0.5448136488068893,0.05073063785167509,9.714285714285714,0.6919275280861119,0.650763710056686,0.9713170906143863,0.07177033492822966,0.5191549295774658,0.9223076923076912
18,16.571428571428573,0.4354591704953472,0.08787413978840422,0.5393056026784082,0.04620739190216783,9.80952380952381,0.6767483954929595,0.643956892607587,0.920391849790563,0.0430622009569378,0.5094366197183099,0.8914423076923076
19,16.523809523809526,0.4256994866983566,0.09511256553275006,0.5605364148493888,0.04872539079589988,10.238095238095237,0.6897267173639052,0.651174572276291,0.996036578985453,0.0861244019138756,0.5185633802816899,0.922884615384615
20,17.142857142857142,0.43117369176900205,0.09881416796371764,0.5703496979395789,0.061797664698940546,9.952380952380953,0.6947493609790331,0.656020082800785,0.9841113621616794,0.06698564593301436,0.5449859154929574,0.8916826923076928
21,16.857142857142858,0.4376702533535416,0.08748957812103386,0.5545297259134883,0.04796443676770412,10.047619047619047,0.6835084604130135,0.66410241331256,0.951851157778343,0.06698564593301436,0.5387605633802814,0.8968269230769232
22,15.571428571428571,0.43129558672032586,0.10128523598115088,0.5777943329274442,0.0666667913453487,9.904761904761905,0.6708486701126776,0.650700230008941,0.958320435409582,0.06698564593301436,0.5372112676056333,0.9024038461538465
23,17.095238095238095,0.42068247565044825,0.09768846416661221,0.5523113188946469,0.04795682226757103,10.095238095238095,0.6745545384102493,0.650700230008941,0.9841113621616794,0.0861244019138756,0.5482816901408455,0.9256730769230777
24,17.333333333333332,0.4259250493680751,0.097272043209489,0.5492347544153826,0.05280680176837316,10.095238095238095,0.6984719948389312,0.667945522377119,0.9740113813389886,0.06220095693779904,0.561802816901409,0.897403846153847
25,16.714285714285715,0.42723248100400735,0.09303021362175379,0.5446268775129367,0.04667758509525277,9.952380952380953,0.6810935394460536,0.640379350438141,0.9773790849129164,0.0430622009569378,0.5132957746478877,0.9061057692307687
26,17.19047619047619,0.42937326590646324,0.10142390588061319,0.5548510487529694,0.06450896620285884,9.904761904761905,0.6759414763424277,0.664511646095865,0.917244887192501,0.03827751196172249,0.5152112676056333,0.8627403846153845
27,16.523809523809526,0.4285827778390561,0.09776371361933132,0.5571344757868806,0.05672169426592655,10,0.6877102859231935,0.643956892607587,0.9773790849129164,0.0430622009569378,0.4840845070422531,0.9209134615384617
28,15.380952380952381,0.43122759748812767,0.09584646506185733,0.5539773732711537,0.05625939925006285,10.047619047619047,0.6858663177678572,0.66110264792657,0.9726741884678076,0.07177033492822966,0.5494084507042246,0.8580769230769235
29,18.095238095238095,0.4327887459187298,0.08758692520484332,0.5508158990364018,0.04282521021709784,10,0.6814873679444998,0.66410241331256,0.921869078161231,0.06698564593301436,0.5483380281690138,0.8946634615384613
30,17.666666666666668,0.42979263699481096,0.093920315629657955,0.5498907011452654,0.051045753469989075,10.238095238095237,0.6617669725058408,0.636929682038299,0.9210494628861452,0.04784688995215311,0.5128450704225354,0.9251923076923074
31,17.476190476190474,0.4292799023359743,0.0918212628115023,0.5581924006951994,0.04669763017504802,10.095238095238095,0.6644816674825589,0.63558879660829,0.9317898019932306,0.08133971291866028,0.5660281690140844,0.891923076923077
